device_id,persona,home_lat,home_lon,dist_to_STR001_m,dist_to_STR002_m,dist_to_STR003_m,nearest_store_id,nearest_store_name,distance_to_nearest_store_m
00696abc-3e18-4654-b046-796ecebd914b,Commuter,21.139401,79.063988,2036.3,2590.6,4400.7,STR001,Store A - Sitabuldi,2036.3
0073b1d7-4f93-4645-87bd-f51f9ab963a5,Resident,21.139382,79.064024,2034.5,2588.6,4398.9,STR001,Store A - Sitabuldi,2034.5
010591be-e329-4aff-a071-71e865855854,Resident,21.139423,79.063995,2034.3,2588.7,4403.2,STR001,Store A - Sitabuldi,2034.3
01a3a854-fba8-46ff-acca-e866cc6433dd,Shopper,21.16871,79.105296,3348.1,2807.5,8969.1,STR002,Store B - Civil Lines,2807.5
01dbe2c0-8a72-4077-9e72-ab38c0e39846,Shopper,21.139364,79.064,2037.7,2591.8,4396.7,STR001,Store A - Sitabuldi,2037.7
025663f8-6ec4-4a7a-8a6c-238f57ff4c48,Resident,21.168703,79.105291,3347.1,2806.6,8968.1,STR002,Store B - Civil Lines,2806.6
02797c4f-a50e-4a3f-bc14-251641cb31e7,Commuter,21.139413,79.06402,2032.8,2587.0,4402.4,STR001,Store A - Sitabuldi,2032.8
031e906e-73a6-45cc-a8b5-643f652028e1,Resident,21.168703,79.105272,3345.6,2805.1,8967.0,STR002,Store B - Civil Lines,2805.1
0348ae48-9c7d-43d2-ad5f-67ec44eeb0d6,Commuter,21.159996,79.073004,1327.3,1529.1,6806.2,STR001,Store A - Sitabuldi,1327.3
0356b098-01dd-4117-9370-14f4feb5a409,Resident,21.160003,79.073008,1327.7,1529.2,6807.1,STR001,Store A - Sitabuldi,1327.7
03a3cb76-1c60-4802-b32d-6d7a2a2a1ca7,Resident,21.139385,79.064003,2036.0,2590.2,4399.1,STR001,Store A - Sitabuldi,2036.0
04a190df-0209-468b-b57e-489f9a340328,Resident,21.139383,79.063962,2039.7,2594.0,4398.4,STR001,Store A - Sitabuldi,2039.7
052ca643-6cda-4581-84b1-bb9335427078,Commuter,21.160007,79.072992,1329.0,1530.8,6807.2,STR001,Store A - Sitabuldi,1329.0
0558010f-2b14-473c-9da6-bc23f8c94535,Resident,21.168693,79.105291,3346.4,2805.8,8967.1,STR002,Store B - Civil Lines,2805.8
05c57e23-7e36-46fd-ba05-389bddd40023,Commuter,21.160005,79.073,1328.4,1530.0,6807.1,STR001,Store A - Sitabuldi,1328.4
063178ac-3d71-49ef-ad54-f6b3ea96aef0,Commuter,21.168724,79.105304,3349.6,2809.1,8970.8,STR002,Store B - Civil Lines,2809.1
06de090b-571b-4c10-b8e2-c40b0ba063ec,Commuter,21.168676,79.105264,3343.0,2802.4,8964.0,STR002,Store B - Civil Lines,2802.4
07c60b9d-bd2a-4dcd-8f93-fad88fca32f6,Resident,21.168695,79.105312,3348.3,2807.6,8968.5,STR002,Store B - Civil Lines,2807.6
08592b66-cbaa-4aad-b791-a3597840a1c4,Resident,21.159999,79.07301,1327.3,1528.7,6806.7,STR001,Store A - Sitabuldi,1327.3
087ec914-5793-43b4-9e97-cf562fd84f0a,Shopper,21.160023,79.073014,1329.3,1530.0,6809.4,STR001,Store A - Sitabuldi,1329.3
08a8b9e7-4fbc-47f9-82fb-9423b77d939a,Commuter,21.139415,79.064014,2033.2,2587.5,4402.4,STR001,Store A - Sitabuldi,2033.2
08cabd49-46cd-4364-b011-38b23052bb07,Commuter,21.139414,79.064006,2033.9,2588.2,4402.3,STR001,Store A - Sitabuldi,2033.9
098c98f0-079a-4458-9874-252794ef95b4,Resident,21.159993,79.072983,1328.3,1530.7,6805.5,STR001,Store A - Sitabuldi,1328.3
0a41398b-f3b0-4845-9be6-e5437d0a9a88,Resident,21.139398,79.064001,2035.4,2589.6,4400.5,STR001,Store A - Sitabuldi,2035.4
0be7f56e-4d1f-4154-968a-abed865a4388,Commuter,21.160003,79.072987,1329.0,1531.0,6806.7,STR001,Store A - Sitabuldi,1329.0
0c4d587d-a02b-4342-b6c4-58f5682f08f4,Resident,21.159987,79.073016,1325.8,1527.5,6805.5,STR001,Store A - Sitabuldi,1325.8
0c4df4c2-8cf8-4a66-8b8a-e215d83af617,Shopper,21.139407,79.063998,2035.1,2589.3,4401.4,STR001,Store A - Sitabuldi,2035.1
0c8fa059-b21e-43f5-aa0f-5ed3c42cc39f,Resident,21.139421,79.064008,2033.3,2587.7,4403.1,STR001,Store A - Sitabuldi,2033.3
0ce56b06-8381-4f71-8d38-7b2fa2caa14a,Commuter,21.159986,79.073017,1325.6,1527.3,6805.4,STR001,Store A - Sitabuldi,1325.6
0cf5a0c6-640b-4f82-b8e0-510099187d68,Commuter,21.139398,79.063995,2035.9,2590.2,4400.4,STR001,Store A - Sitabuldi,2035.9
0d9ac6fd-cdd8-43ea-9f3d-254e76a9956f,Resident,21.139396,79.064019,2034.0,2588.2,4400.4,STR001,Store A - Sitabuldi,2034.0
0ef9dd40-bcde-44bb-aad2-809c82ac5965,Resident,21.160009,79.072998,1328.8,1530.4,6807.5,STR001,Store A - Sitabuldi,1328.8
0f7b9789-4efe-4a69-a94e-e476c1705277,Resident,21.159996,79.07302,1326.4,1527.7,6806.6,STR001,Store A - Sitabuldi,1326.4
102be4c8-c773-4166-8267-766157fda62a,Commuter,21.139413,79.064003,2034.2,2588.5,4402.2,STR001,Store A - Sitabuldi,2034.2
1170925d-1986-4a9a-b6dc-27be542f612f,Commuter,21.168697,79.105304,3347.7,2807.1,8968.1,STR002,Store B - Civil Lines,2807.1
124e9556-7829-48b1-a0e1-1f44d6fc4a5d,Resident,21.160019,79.072999,1329.8,1531.0,6808.7,STR001,Store A - Sitabuldi,1329.8
1296bdb9-c771-49b7-bd9e-261796e38333,Resident,21.13941,79.063976,2036.7,2591.1,4401.6,STR001,Store A - Sitabuldi,2036.7
13c3743b-3654-4604-8bf1-c81ed4abf9d5,Resident,21.139412,79.064003,2034.4,2588.7,4402.0,STR001,Store A - Sitabuldi,2034.4
13d418af-063a-48d4-a688-c6633c43b198,Commuter,21.139394,79.06399,2036.6,2590.8,4399.9,STR001,Store A - Sitabuldi,2036.6
14ad0b1a-347c-4418-a91f-a7ea24174e18,Resident,21.168717,79.105292,3348.2,2807.7,8969.5,STR002,Store B - Civil Lines,2807.7
14b9000a-1b3c-41a6-b3fd-dc5d69062d0b,Resident,21.159993,79.073,1327.3,1529.2,6805.8,STR001,Store A - Sitabuldi,1327.3
15deb340-0386-43ea-8413-86b3d8bdf116,Resident,21.168697,79.105276,3345.5,2805.0,8966.7,STR002,Store B - Civil Lines,2805.0
162fde13-ac43-4e83-932c-e021599bd6b6,Commuter,21.16001,79.072986,1329.6,1531.5,6807.4,STR001,Store A - Sitabuldi,1329.6
17448c0c-0509-49f4-82e2-fefb5d124d47,Resident,21.168718,79.10529,3348.1,2807.6,8969.4,STR002,Store B - Civil Lines,2807.6
17e55aa8-5611-4658-9c9d-7b210d10c077,Commuter,21.139362,79.064003,2037.5,2591.6,4396.5,STR001,Store A - Sitabuldi,2037.5
1862bcbd-c88b-4d31-9fc6-68def9cc0cfa,Commuter,21.168709,79.105302,3348.4,2807.9,8969.2,STR002,Store B - Civil Lines,2807.9
18fede77-ce1b-4da2-825e-0e6b5d2fab3e,Commuter,21.160008,79.073021,1327.5,1528.4,6807.9,STR001,Store A - Sitabuldi,1327.5
1982a32e-62b4-4515-be3e-053a00931381,Resident,21.160015,79.072994,1329.7,1531.2,6808.1,STR001,Store A - Sitabuldi,1329.7
19c1d11d-2c19-44b1-9921-960d00449d52,Shopper,21.139429,79.064008,2032.8,2587.1,4404.0,STR001,Store A - Sitabuldi,2032.8
19faa863-00c8-456e-8b4b-8cbe15a3bfec,Commuter,21.139399,79.064023,2033.5,2587.7,4400.8,STR001,Store A - Sitabuldi,2033.5
1a510e01-589c-453b-b827-cecf28a6de81,Commuter,21.168699,79.105269,3345.0,2804.5,8966.5,STR002,Store B - Civil Lines,2804.5
1b39f519-30ff-419a-bb98-6270f930933a,Resident,21.160002,79.07302,1327.0,1528.1,6807.2,STR001,Store A - Sitabuldi,1327.0
1b9124f4-68e0-40b1-a497-992c9eb86c6b,Shopper,21.160017,79.073013,1328.8,1529.7,6808.7,STR001,Store A - Sitabuldi,1328.8
1c07e6e2-c479-4511-bfea-5cc6275188e1,Commuter,21.159997,79.073015,1326.8,1528.2,6806.5,STR001,Store A - Sitabuldi,1326.8
1cc0a0c5-3d4c-4a6e-b6bc-7d03a74aaec8,Shopper,21.139391,79.064011,2035.0,2589.2,4399.8,STR001,Store A - Sitabuldi,2035.0
1ce51a3e-6e87-404e-bb0b-cf53e0aa4712,Commuter,21.16869,79.105312,3347.9,2807.2,8968.0,STR002,Store B - Civil Lines,2807.2
1d04d50f-1f55-47a6-9676-f70fa14cbe6e,Shopper,21.168692,79.105327,3349.3,2808.5,8969.0,STR002,Store B - Civil Lines,2808.5
1d408525-a269-40ae-aa92-81d12123cc16,Shopper,21.15999,79.072995,1327.2,1529.4,6805.4,STR001,Store A - Sitabuldi,1327.2
1d70374e-a27d-4d63-926a-201448dbca63,Resident,21.16003,79.072991,1331.2,1532.3,6809.7,STR001,Store A - Sitabuldi,1331.2
1d7c45b6-dc57-414b-b433-b39277788f53,Resident,21.159992,79.072986,1328.0,1530.3,6805.5,STR001,Store A - Sitabuldi,1328.0
2285bd0b-b84d-4954-9b22-e34b7f2e1056,Shopper,21.139412,79.063998,2034.7,2589.0,4402.0,STR001,Store A - Sitabuldi,2034.7
23115587-5d4a-4534-afb0-0b66d30d8692,Resident,21.160034,79.073001,1331.0,1531.8,6810.3,STR001,Store A - Sitabuldi,1331.0
